bet_category,last_update,game_time,home_team,away_team,player,point,Odds,best_over_price,best_over_bookmaker,best_under_price,best_under_bookmaker,pct_under,bookmaker_pct
player_rush_or_rec_tds,9/30/2024 13:12,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Alec Ingold,0.5,"[{""over_under"": ""Over"", ""price"": 1100, ""Bookmaker"": ""williamhill_us""}, {""over_under"": ""Over"", ""price"": 1800, ""Bookmaker"": ""fanduel""}, {""over_under"": ""Over"", ""price"": 2000, ""Bookmaker"": ""betrivers""}, {""over_under"": ""Over"", ""price"": 1400, ""Bookmaker"": ""betonlineag""}, {""over_under"": ""Over"", ""price"": 1800, ""Bookmaker"": ""betmgm""}]",2000,betrivers,0,,0.922380952,0.03
player_rush_or_rec_tds,9/30/2024 13:12,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Alec Ingold,1.5,"[{""over_under"": ""Over"", ""price"": 22500, ""Bookmaker"": ""betrivers""}]",22500,betrivers,0,,0.965575221,0.03
player_rush_or_rec_tds,9/30/2024 13:12,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Amani Hooker,0.5,"[{""over_under"": ""Over"", ""price"": 3000, ""Bookmaker"": ""williamhill_us""}]",3000,williamhill_us,0,,0.937741935,0.03
player_rush_or_rec_tds,9/30/2024 13:12,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Anthony Walker Jr.,0.5,"[{""over_under"": ""Over"", ""price"": 4000, ""Bookmaker"": ""williamhill_us""}]",4000,williamhill_us,0,,0.945609756,0.03
player_rush_or_rec_tds,9/30/2024 13:12,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Arden Key,0.5,"[{""over_under"": ""Over"", ""price"": 4500, ""Bookmaker"": ""williamhill_us""}]",4500,williamhill_us,0,,0.94826087,0.03
player_reception_yds,9/30/2024 13:11,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Braxton Berrios,2.5,"[{""over_under"": ""Over"", ""price"": -115, ""Bookmaker"": ""draftkings""}, {""over_under"": ""Under"", ""price"": -115, ""Bookmaker"": ""draftkings""}, {""over_under"": ""Over"", ""price"": -110, ""Bookmaker"": ""betmgm""}, {""over_under"": ""Under"", ""price"": -120, ""Bookmaker"": ""betmgm""}, {""over_under"": ""Over"", ""price"": -115, ""Bookmaker"": ""bovada""}, {""over_under"": ""Under"", ""price"": -115, ""Bookmaker"": ""bovada""}]",-110,betmgm,-115,draftkings,0.505537099,0.029346622
player_reception_yds,9/30/2024 13:11,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Braxton Berrios,24.5,"[{""over_under"": ""Over"", ""price"": 600, ""Bookmaker"": ""draftkings""}]",600,draftkings,0,,0.827142857,0.03
player_receptions,9/30/2024 13:11,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Braxton Berrios,0.5,"[{""over_under"": ""Over"", ""price"": -135, ""Bookmaker"": ""draftkings""}, {""over_under"": ""Under"", ""price"": 105, ""Bookmaker"": ""draftkings""}, {""over_under"": ""Over"", ""price"": -139, ""Bookmaker"": ""williamhill_us""}, {""over_under"": ""Under"", ""price"": 102, ""Bookmaker"": ""williamhill_us""}, {""over_under"": ""Over"", ""price"": -135, ""Bookmaker"": ""betmgm""}, {""over_under"": ""Under"", ""price"": 100, ""Bookmaker"": ""betmgm""}, {""over_under"": ""Over"", ""price"": -135, ""Bookmaker"": ""bovada""}, {""over_under"": ""Under"", ""price"": 105, ""Bookmaker"": ""bovada""}]",-135,draftkings,105,draftkings,0.456668396,0.031136482
player_rush_or_rec_tds,9/30/2024 13:11,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Braxton Berrios,0.5,"[{""over_under"": ""Over"", ""price"": 900, ""Bookmaker"": ""draftkings""}, {""over_under"": ""Over"", ""price"": 850, ""Bookmaker"": ""williamhill_us""}, {""over_under"": ""Over"", ""price"": 1200, ""Bookmaker"": ""fanduel""}, {""over_under"": ""Over"", ""price"": 1000, ""Bookmaker"": ""betrivers""}, {""over_under"": ""Over"", ""price"": 900, ""Bookmaker"": ""betonlineag""}, {""over_under"": ""Over"", ""price"": 1100, ""Bookmaker"": ""betmgm""}, {""over_under"": ""Over"", ""price"": 900, ""Bookmaker"": ""bovada""}]",1200,fanduel,0,,0.893076923,0.03
player_rush_or_rec_tds,9/30/2024 13:11,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Braxton Berrios,1.5,"[{""over_under"": ""Over"", ""price"": 9000, ""Bookmaker"": ""draftkings""}, {""over_under"": ""Over"", ""price"": 12000, ""Bookmaker"": ""betrivers""}, {""over_under"": ""Over"", ""price"": 10000, ""Bookmaker"": ""betmgm""}]",12000,betrivers,0,,0.961735537,0.03
player_rush_or_rec_tds,9/30/2024 13:11,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Braxton Berrios,2.5,"[{""over_under"": ""Over"", ""price"": 20000, ""Bookmaker"": ""draftkings""}]",20000,draftkings,0,,0.965024876,0.03
player_rush_or_rec_tds,9/30/2024 13:12,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Calais Campbell,0.5,"[{""over_under"": ""Over"", ""price"": 4500, ""Bookmaker"": ""williamhill_us""}]",4500,williamhill_us,0,,0.94826087,0.03
player_reception_yds,9/30/2024 13:11,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Calvin Ridley,24.5,"[{""over_under"": ""Over"", ""price"": -425, ""Bookmaker"": ""draftkings""}, {""over_under"": ""Over"", ""price"": -320, ""Bookmaker"": ""fanduel""}, {""over_under"": ""Over"", ""price"": -385, ""Bookmaker"": ""betrivers""}, {""over_under"": ""Under"", ""price"": 250, ""Bookmaker"": ""betrivers""}, {""over_under"": ""Over"", ""price"": -350, ""Bookmaker"": ""betmgm""}]",-320,fanduel,250,betrivers,0.261904762,0.023809524
player_reception_yds,9/30/2024 13:12,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Calvin Ridley,29.5,"[{""over_under"": ""Over"", ""price"": -265, ""Bookmaker"": ""betrivers""}, {""over_under"": ""Under"", ""price"": 185, ""Bookmaker"": ""betrivers""}]",-265,betrivers,185,betrivers,0.312424898,0.038452295
player_reception_yds,9/30/2024 13:11,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Calvin Ridley,30.5,"[{""over_under"": ""Over"", ""price"": -255, ""Bookmaker"": ""draftkings""}, {""over_under"": ""Under"", ""price"": 195, ""Bookmaker"": ""draftkings""}]",-255,draftkings,195,draftkings,0.310336596,0.028646455
player_reception_yds,9/30/2024 13:12,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Calvin Ridley,34.5,"[{""over_under"": ""Over"", ""price"": -190, ""Bookmaker"": ""betrivers""}, {""over_under"": ""Under"", ""price"": 140, ""Bookmaker"": ""betrivers""}]",-190,betrivers,140,betrivers,0.380747126,0.03591954
player_reception_yds,9/30/2024 13:11,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Calvin Ridley,35.5,"[{""over_under"": ""Over"", ""price"": -175, ""Bookmaker"": ""draftkings""}, {""over_under"": ""Under"", ""price"": 140, ""Bookmaker"": ""draftkings""}]",-175,draftkings,140,draftkings,0.390151515,0.026515152
player_reception_yds,9/30/2024 13:11,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Calvin Ridley,39.5,"[{""over_under"": ""Over"", ""price"": -140, ""Bookmaker"": ""draftkings""}, {""over_under"": ""Over"", ""price"": -140, ""Bookmaker"": ""fanduel""}, {""over_under"": ""Over"", ""price"": -139, ""Bookmaker"": ""betrivers""}, {""over_under"": ""Under"", ""price"": 108, ""Bookmaker"": ""betrivers""}]",-139,betrivers,108,betrivers,0.449589636,0.031179594
player_reception_yds,9/30/2024 13:11,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Calvin Ridley,40.5,"[{""over_under"": ""Over"", ""price"": -115, ""Bookmaker"": ""betmgm""}, {""over_under"": ""Under"", ""price"": -115, ""Bookmaker"": ""betmgm""}, {""over_under"": ""Over"", ""price"": -130, ""Bookmaker"": ""bovada""}, {""over_under"": ""Under"", ""price"": 100, ""Bookmaker"": ""bovada""}]",-115,betmgm,100,bovada,0.48255814,0.01744186
player_reception_yds,9/30/2024 13:11,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Calvin Ridley,42.5,"[{""over_under"": ""Over"", ""price"": -120, ""Bookmaker"": ""draftkings""}, {""over_under"": ""Under"", ""price"": -110, ""Bookmaker"": ""draftkings""}, {""over_under"": ""Over"", ""price"": -125, ""Bookmaker"": ""williamhill_us""}, {""over_under"": ""Under"", ""price"": -109, ""Bookmaker"": ""williamhill_us""}, {""over_under"": ""Under"", ""price"": -108, ""Bookmaker"": ""betonlineag""}, {""over_under"": ""Over"", ""price"": -120, ""Bookmaker"": ""betonlineag""}]",-120,draftkings,-108,betonlineag,0.486888112,0.032342657
player_reception_yds,9/30/2024 13:11,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Calvin Ridley,43.5,"[{""over_under"": ""Over"", ""price"": -110, ""Bookmaker"": ""fanduel""}, {""over_under"": ""Under"", ""price"": -110, ""Bookmaker"": ""fanduel""}, {""over_under"": ""Over"", ""price"": -112, ""Bookmaker"": ""betrivers""}, {""over_under"": ""Under"", ""price"": -117, ""Bookmaker"": ""betrivers""}]",-110,fanduel,-110,fanduel,0.5,0.023809524
player_reception_yds,9/30/2024 13:12,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Calvin Ridley,44.5,"[{""over_under"": ""Over"", ""price"": -106, ""Bookmaker"": ""betrivers""}, {""over_under"": ""Under"", ""price"": -122, ""Bookmaker"": ""betrivers""}]",-106,betrivers,-122,betrivers,0.517493221,0.032056328
player_reception_yds,9/30/2024 13:11,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Calvin Ridley,49.5,"[{""over_under"": ""Over"", ""price"": 125, ""Bookmaker"": ""draftkings""}, {""over_under"": ""Over"", ""price"": 116, ""Bookmaker"": ""fanduel""}, {""over_under"": ""Over"", ""price"": 123, ""Bookmaker"": ""betrivers""}, {""over_under"": ""Under"", ""price"": -162, ""Bookmaker"": ""betrivers""}, {""over_under"": ""Over"", ""price"": 120, ""Bookmaker"": ""betmgm""}]",125,draftkings,-162,betrivers,0.586938083,0.031382528
player_reception_yds,9/30/2024 13:11,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Calvin Ridley,50.5,"[{""over_under"": ""Over"", ""price"": 130, ""Bookmaker"": ""draftkings""}, {""over_under"": ""Under"", ""price"": -170, ""Bookmaker"": ""draftkings""}]",130,draftkings,-170,draftkings,0.59742351,0.032206119
player_reception_yds,9/30/2024 13:12,9/30/2024 17:30,Miami Dolphins,Tennessee Titans,Calvin Ridley,54.5,"[{""over_under"": ""Over"", ""price"": 150, ""Bookmaker"": ""betrivers""}, {""over_under"": ""Under"", ""price"": -210, ""Bookmaker"": ""betrivers""}]",150,betrivers,-210,betrivers,0.638709677,0.038709677
